"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"PinSocket_1x30_P2.54mm_Horizontal";1;"NABU Expansion Header";;;
2;"J1";"IDC-Header_2x20_P2.54mm_Horizontal";1;"IDE ATA Bus";;;
3;"C1";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"1nF";;;
4;"D1";"LED_D3.0mm";1;"LED 3mm";;;
5;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"External LED";;;
6;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"Internal LED";;;
7;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"50Ω";;;
8;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"180Ω";;;
9;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10K";;;
10;"R4,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"3.3K";;;
11;"U1";"DIP-20_W7.62mm";1;"74LS245";;;
12;"U2,U5";"DIP-14_W7.62mm";2;"74LS32";;;
13;"U3";"DIP-14_W7.62mm";1;"74LS08";;;
14;"U4";"DIP-14_W7.62mm";1;"74LS04";;;
15;"U6,U7";"DIP-20_W7.62mm";2;"74LS574";;;
